Newspaper,"Daily Circulation, 2004","Daily Circulation, 2013","Change in Daily Circulation, 2004-2013","Pulitzer Prize Winners and Finalists, 1990-2003","Pulitzer Prize Winners and Finalists, 2004-2014","Pulitzer Prize Winners and Finalists, 1990-2014"
USA Today,2192098.0,1674306.0,-24.0,1,1,2
Wall Street Journal,2101017.0,2378827.0,13.0,30,20,50
New York Times,1119027.0,1865318.0,67.0,55,62,117
Los Angeles Times,983727.0,653868.0,-34.0,44,41,85
Washington Post,760034.0,474767.0,-38.0,52,48,100
New York Daily News,712671.0,516165.0,-28.0,4,2,6
New York Post,642844.0,500521.0,-22.0,0,0,0
Chicago Tribune,603315.0,414930.0,-31.0,23,15,38
San Jose Mercury News,558874.0,583998.0,4.0,4,2,6
Newsday,553117.0,377744.0,-32.0,12,6,18
Houston Chronicle,549300.0,360251.0,-34.0,2,3,5
Dallas Morning News,528379.0,409265.0,-23.0,11,6,17
San Francisco Chronicle,499008.0,218987.0,-56.0,7,2,9
Arizona Republic,466926.0,293640.0,-37.0,5,2,7
Chicago Sun-Times,453757.0,470548.0,4.0,1,1,2
Boston Globe,446241.0,245572.0,-45.0,25,16,41
Atlanta Journal Constitution,409873.0,231094.0,-44.0,1,5,6
Newark Star Ledger,395000.0,340778.0,-14.0,2,6,8
Detroit Free Press,379304.0,209652.0,-45.0,7,5,12
Minneapolis Star Tribune,377058.0,301345.0,-20.0,4,4,8
Philadelphia Inquirer,376454.0,306831.0,-18.0,24,8,32
Cleveland Plain Dealer,367528.0,311605.0,-15.0,4,7,11
San Diego Union-Tribune,355771.0,250678.0,-30.0,0,2,2
Tampa Bay Times,348502.0,340260.0,-2.0,10,11,21
Denver Post,340168.0,416676.0,22.0,1,8,9
Oregonian,339169.0,228909.0,-33.0,9,8,17
Miami Herald,325032.0,147130.0,-55.0,17,7,24
Orange County Register,310001.0,356165.0,15.0,3,2,5
Sacramento Bee,303841.0,200802.0,-34.0,4,4,8
St. Louis Post-Dispatch,281198.0,167199.0,-41.0,4,3,7
Baltimore Sun,277947.0,177054.0,-36.0,11,2,13
Kansas City Star,275747.0,189283.0,-31.0,2,0,2
Detroit News,271465.0,115643.0,-57.0,4,0,4
Orlando Sentinel,269269.0,161070.0,-40.0,5,2,7
South Florida Sun-Sentinel,268297.0,163728.0,-39.0,0,1,1
Columbus Dispatch,259127.0,137148.0,-47.0,1,0,1
Indianapolis Star,253778.0,156850.0,-38.0,1,0,1
San Antonio Express-News,246057.0,139005.0,-44.0,0,0,0
Pittsburgh Post-Gazette,242514.0,180433.0,-26.0,3,0,3
Milwaukee Journal Sentinel,241605.0,198469.0,-18.0,2,8,10
Tampa Tribune,238877.0,191477.0,-20.0,0,0,0
Fort Woth Star-Telegram,237318.0,188593.0,-21.0,1,0,1
Boston Herald,236899.0,95929.0,-60.0,0,0,0
Seattle Times,233497.0,229764.0,-2.0,11,5,16
Charlotte Observer,231369.0,137829.0,-40.0,1,3,4
Daily Oklahoman,223403.0,124667.0,-44.0,0,0,0
Louisville Courier-Journal,216934.0,131208.0,-40.0,0,3,3
Investor's Buisiness Daily,215735.0,157161.0,-27.0,0,1,1
